status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x948355557022420992,1/3/18,2018,realDonaldTrump,"North Korean Leader Kim Jong Un just stated that the äóìNuclear Button is on his desk at all times.äóù Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger &amp; more powerful one than his, and my Button works!",500771,194491,,284
x947802588174577664,1/1/18,2018,realDonaldTrump,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp; deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",306174,101840,,284
x948359545767841792,1/3/18,2018,realDonaldTrump,I will be announcing THE MOST DISHONEST &amp; CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 oäó»clock. Subjects will cover Dishonesty &amp; Bad Reporting in various categories from the Fake News Media. Stay tuned!,198298,52429,,216
x948874586006925313,1/4/18,2018,realDonaldTrump,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do.....except when it comes to the most important thing, VOTING for the people that run your country. Push hard for Voter Identification!",155522,40355,,248
x948739073237311488,1/4/18,2018,realDonaldTrump,MAKE AMERICA GREAT AGAIN!,161407,38343,,25
x948174033882927104,1/2/18,2018,realDonaldTrump,"Crooked Hillary Clintonäó»s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put Classified Passwords into the hands of foreign agents. Remember sailors pictures on submarine? Jail! Deep State Justice Dept must finally act? Also on Comey &amp; others",131388,37866,,284
x949618475877765120,1/6/18,2018,realDonaldTrump,"....Actually, throughout my life, my two greatest assets have been mental stability and being, like, really smart. Crooked Hillary Clinton also played these cards very hard and, as everyone knows, went down in flames. I went from VERY successful businessman, to top T.V. Star.....",134642,36810,,280
x950103659337134080,1/7/18,2018,realDonaldTrump,"The Fake News Awards, those going to the most corrupt &amp; biased of the Mainstream Media, will be presented to the losers on Wednesday, January 17th, rather than this coming Monday. The interest in, and importance of, these awards is far greater than anyone could have anticipated!",146902,36027,,283
x949616329463615489,1/6/18,2018,realDonaldTrump,"Now that Russian collusion, after one year of intense study, has proven to be a total hoax on the American public, the Democrats and their lapdogs, the Fake News Mainstream Media, are taking out the old Ronald Reagan playbook and screaming mental stability and intelligence.....",148369,35276,,278
x949619270631256064,1/6/18,2018,realDonaldTrump,"....to President of the United States (on my first try). I think that would qualify as not smart, but genius....and a very stable genius at that!",142595,34662,,145
x950371619247153154,1/8/18,2018,realDonaldTrump,African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!  #NeverForget  @foxandfriends,130379,34468,NeverForget,264
x951309956720087041,1/11/18,2018,realDonaldTrump,"Good news: Toyota and Mazda announce giant new Huntsville, Alabama, plant which will produce over 300,000 cars and SUVäó»s a year and employ 4000 people. Companies are coming back to the U.S. in a very big way. Congratulations Alabama!",164052,34343,,233
x948881133340708864,1/4/18,2018,realDonaldTrump,So beautiful....Show this picture to the NFL players who still kneel! https://t.co/tJLM1tvbvb,117785,32949,,69
x949287555660500992,1/5/18,2018,realDonaldTrump,"Well, now that collusion with Russia is proving to be a total hoax and the only collusion is with Hillary Clinton and the FBI/Russia, the Fake News Media (Mainstream) and this phony new book are hitting out at every new front imaginable. They should try winning an election. Sad!",146348,32931,,279
x949608746497576960,1/6/18,2018,realDonaldTrump,"The African American unemployment rate fell to 6.8%, the lowest rate in 45 years. I am so happy about this News! And, in the Washington Post (of all places), headline states, äóìTrumps first year jobs numbers were very, very good.äóù",144087,32712,,229
x950014185299210240,1/7/18,2018,realDonaldTrump,"Iäó»ve had to put up with the Fake News from the first day I announced that I would be running for President. Now I have to put up with a Fake Book, written by a totally discredited author. Ronald Reagan had the same problem and handled it well. So will I!",152653,31476,,254
x948872192284155904,1/4/18,2018,realDonaldTrump,"Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They fought hard that the Commission not see their records or methods because they know that many people are voting illegally. System is rigged, must go to Voter I.D.",111319,30937,,277
x948548807612084224,1/3/18,2018,realDonaldTrump,Such respect for the people of Iran as they try to take back their corrupt government. You will see great support from the United States at the appropriate time!,148703,30719,,161
x949066181381632001,1/4/18,2018,realDonaldTrump,"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL, stop illegal immigration, end chain migration &amp; cancel the visa lottery. The current system is unsafe &amp; unfair to the great people of our country - time for change!",137575,30505,,287
x949495534003412992,1/6/18,2018,realDonaldTrump,Good idea Rand! https://t.co/55sqUDiC0s,121373,30311,,15
x950023175907266560,1/7/18,2018,realDonaldTrump,Jake Tapper of Fake News CNN just got destroyed in his interview with Stephen Miller of the Trump Administration. Watch the hatred and unfairness of this CNN flunky!,123222,29879,,165
x948322496591384576,1/2/18,2018,realDonaldTrump,"It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They donäó»t even want to negotiate a long overdue...",118261,29419,,278
x947810806430826496,1/1/18,2018,realDonaldTrump,"Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!",111910,29278,,283
x948164289591902208,1/2/18,2018,realDonaldTrump,"The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that President Obama so foolishly gave them went into terrorism and into their äóìpockets.äóù The people have little food, big inflation and no human rights. The U.S. is watching!",106433,28520,,277
x949129410208202757,1/5/18,2018,realDonaldTrump,"The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if äóìOäóù was president and had these numbers - would be biggest story on earth! Dow now over 25,000.",129430,28275,,273
x951109942685126656,1/10/18,2018,realDonaldTrump,"The single greatest Witch Hunt in American history continues. There was no collusion, everybody including the Dems knows there was no collusion, &amp; yet on and on it goes. Russia &amp; the world is laughing at the stupidity they are witnessing. Republicans should finally take control!",114809,27982,,287
x949242950659313669,1/5/18,2018,realDonaldTrump,"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",123380,27299,,276
x950777029816963072,1/9/18,2018,realDonaldTrump,"On behalf of the American people, THANK YOU to our incredible law enforcement officers. As President of the United States - I will fight for you, and I will never, ever let you down. Now, more than ever, we must support the men and women in blue! #LawEnforcementAppreciationDay https://t.co/Qb4uxB4JRm",109624,26211,LawEnforcementAppreciationDay,277
x951094078661414912,1/10/18,2018,realDonaldTrump,It just shows everyone how broken and unfair our Court System is when the opposing side in a case (such as DACA) always runs to the 9th Circuit and almost always wins before being reversed by higher courts.,103678,25947,,206
x949126530839572481,1/5/18,2018,realDonaldTrump,"I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spoke to him for book. Full of lies, misrepresentations and sources that donäó»t exist. Look at this guyäó»s past and watch what happens to him and Sloppy Steve!",101565,24186,,269
x949498795074736129,1/6/18,2018,realDonaldTrump,"Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon, who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! https://t.co/mEeUhk5ZV9",89112,24174,,261
x950884128379035650,1/10/18,2018,realDonaldTrump,"As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval.",119760,24045,,135
x948944124132167680,1/4/18,2018,realDonaldTrump,"Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing.",118359,23594,,90
x949610896241946626,1/6/18,2018,realDonaldTrump,"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",118915,23527,,279
x949070800417640454,1/5/18,2018,realDonaldTrump,MAKING AMERICA GREAT AGAIN! https://t.co/iONbr1DkVk,93552,22397,,27
